name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,winrate,winrate,winrate,usage,usage,usage,victory
jdjfjfofifn,#RL20RJJ,3957,3921,610,18368,ゆら,#8Q82U2GJP,12819,12475,2075,56566,yuuto,#2J8LV9U2U,14384,14132,3187,68295,71.51,74.18,71.51,3.54,3.6,3.54,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,79.69,71.7,68.82,2.72,2.02,1.7,1
뽀까뽀까,#8LQCR08J0,10604,10604,6356,117078,yorumi,#20CL2JUJP,14831,14333,7431,126812,서대문개고기정,#VCRVU98G,17598,17365,5428,109918,71.51,62.99,74.18,3.54,2.13,3.6,0
❄️Dikon|くつろぐ•ポス,#LY8GPQYY,18119,17601,4674,200504,유떵이,#99QP9J8LY,13544,13174,6836,135945,infinite.BO,#2UR89QL9G,16570,15652,9740,205679,82.17,68.92,68.82,2.82,1.36,1.7,1
あかつき,#2U9CUQP0,27407,27407,26468,286240,Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,68.82,79.69,71.7,1.7,2.72,2.02,0
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,79.69,78.57,4.0,2.72,1.47,1
초보1239,#C2LVRL8U,12117,12101,2306,52767,Youtube 니타나다,#9JJYP02L,18018,17739,2877,70915,CUT,#QCP0P2CQ,19380,17902,6561,163495,69.33,73.53,78.95,1.39,1.33,1.2,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,78.57,4.0,3.52,1.47,1
€uRo |チョコボ♪,#20JGGPV98,25369,22472,17624,284975,ぷー。,#9U2QJ0P,25238,19438,14368,236990,ᴍ꙼̈ᴇᴄ ♡⃛ Ham ♡⃛,#2YUPVG0G0,23262,20349,14140,242140,67.57,74.85,77.08,4.0,3.25,2.96,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.84,78.95,69.33,3.09,1.2,1.39,1
ILMARE里歐,#PCRPGJVC,19177,18101,8933,201149,뮤직,#V9U8L20V,17737,16719,4592,134435,kaito,#L9UQ2L9,9608,9360,5728,87235,66.33,78.57,67.57,3.52,1.47,4.0,0
hiro,#8J0Y0G2L,20662,18605,4922,75329,༺紅鶯_❀,#80YQPCRC2,18546,18239,3003,98509,mo,#R2P9JQ0V,15275,14985,2085,72955,74.84,68.82,69.33,3.09,1.7,1.39,1
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,78.57,4.0,3.52,1.47,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,66.33,67.57,78.57,3.52,4.0,1.47,1
